a1hhid_combined,b1plot_type_2018_1,b1soil_type_2018_1,b1plot_size_2015_1,b1plot_size_2018_1,b1plot_status_2018_1,b1operation_stat_2018_1,b1landname_new_1,b1plot_type_2018_2,b1soil_type_2018_2,b1plot_size_2015_2,b1plot_size_2018_2,b1plot_status_2018_2,b1operation_stat_2018_2,b1landname_new_2,b1plot_type_2018_3,b1soil_type_2018_3,b1plot_size_2015_3,b1plot_size_2018_3,b1plot_status_2018_3,b1operation_stat_2018_3,b1landname_new_3,b1plot_type_2018_4,b1soil_type_2018_4,b1plot_size_2015_4,b1plot_size_2018_4,b1plot_status_2018_4,b1operation_stat_2018_4,b1landname_new_4,b1plot_type_2018_5,b1soil_type_2018_5,b1plot_size_2015_5,b1plot_size_2018_5,b1plot_status_2018_5,b1operation_stat_2018_5,b1landname_new_5,b1plot_type_2018_6,b1soil_type_2018_6,b1plot_size_2015_6,b1plot_size_2018_6,b1plot_status_2018_6,b1operation_stat_2018_6,b1landname_new_6,b1plot_type_2018_7,b1soil_type_2018_7,b1plot_size_2015_7,b1plot_size_2018_7,b1plot_status_2018_7,b1operation_stat_2018_7,b1landname_new_7,b1plot_type_2018_8,b1soil_type_2018_8,b1plot_size_2015_8,b1plot_size_2018_8,b1plot_status_2018_8,b1operation_stat_2018_8,b1landname_new_8,b1plot_type_2018_9,b1soil_type_2018_9,b1plot_size_2015_9,b1plot_size_2018_9,b1plot_status_2018_9,b1operation_stat_2018_9,b1landname_new_9,b1plot_type_2018_10,b1soil_type_2018_10,b1plot_size_2015_10,b1plot_size_2018_10,b1plot_status_2018_10,b1operation_stat_2018_10,b1landname_new_10,b1plot_type_2018_11,b1soil_type_2018_11,b1plot_size_2015_11,b1plot_size_2018_11,b1plot_status_2018_11,b1operation_stat_2018_11,b1landname_new_11,b1plot_type_2018_12,b1soil_type_2018_12,b1plot_size_2015_12,b1plot_size_2018_12,b1plot_status_2018_12,b1operation_stat_2018_12,b1landname_new_12,b1plot_type_2018_13,b1soil_type_2018_13,b1plot_size_2015_13,b1plot_size_2018_13,b1plot_status_2018_13,b1operation_stat_2018_13,b1landname_new_13,b1plot_type_2018_14,b1soil_type_2018_14,b1plot_size_2015_14,b1plot_size_2018_14,b1plot_status_2018_14,b1operation_stat_2018_14,b1landname_new_14,b1plot_type_2018_15,b1soil_type_2018_15,b1plot_size_2015_15,b1plot_size_2018_15,b1plot_status_2018_15,b1operation_stat_2018_15,b1landname_new_15,b1plot_type_2018_16,b1soil_type_2018_16,b1plot_size_2015_16,b1plot_size_2018_16,b1plot_status_2018_16,b1operation_stat_2018_16,b1landname_new_16,b1plot_type_2018_17,b1soil_type_2018_17,b1plot_size_2015_17,b1plot_size_2018_17,b1plot_status_2018_17,b1operation_stat_2018_17,b1landname_new_17,b1plot_type_2018_18,b1soil_type_2018_18,b1plot_size_2015_18,b1plot_size_2018_18,b1plot_status_2018_18,b1operation_stat_2018_18,b1landname_new_18,b1plot_type_2018_19,b1soil_type_2018_19,b1plot_size_2015_19,b1plot_size_2018_19,b1plot_status_2018_19,b1operation_stat_2018_19,b1landname_new_19,b1plot_type_2018_20,b1soil_type_2018_20,b1plot_size_2015_20,b1plot_size_2018_20,b1plot_status_2018_20,b1operation_stat_2018_20,b1landname_new_20,b1plot_type_2018_21,b1soil_type_2018_21,b1plot_size_2015_21,b1plot_size_2018_21,b1plot_status_2018_21,b1operation_stat_2018_21,b1landname_new_21,b1plot_type_2018_22,b1soil_type_2018_22,b1plot_size_2015_22,b1plot_size_2018_22,b1plot_status_2018_22,b1operation_stat_2018_22,b1landname_new_22,b1plot_type_2018_23,b1soil_type_2018_23,b1plot_size_2015_23,b1plot_size_2018_23,b1plot_status_2018_23,b1operation_stat_2018_23,b1landname_new_23,b1plot_type_2018_24,b1soil_type_2018_24,b1plot_size_2015_24,b1plot_size_2018_24,b1plot_status_2018_24,b1operation_stat_2018_24,b1landname_new_24,b1plot_type_2018_25,b1soil_type_2018_25,b1plot_size_2015_25,b1plot_size_2018_25,b1plot_status_2018_25,b1operation_stat_2018_25,b1landname_new_25,b1plot_type_2018_26,b1soil_type_2018_26,b1plot_size_2015_26,b1plot_size_2018_26,b1plot_status_2018_26,b1operation_stat_2018_26,b1landname_new_26,b1plot_type_2018_27,b1soil_type_2018_27,b1plot_size_2015_27,b1plot_size_2018_27,b1plot_status_2018_27,b1operation_stat_2018_27,b1landname_new_27,b1plot_type_2018_28,b1soil_type_2018_28,b1plot_size_2015_28,b1plot_size_2018_28,b1plot_status_2018_28,b1operation_stat_2018_28,b1landname_new_28,b1plot_type_2018_29,b1soil_type_2018_29,b1plot_size_2015_29,b1plot_size_2018_29,b1plot_status_2018_29,b1operation_stat_2018_29,b1landname_new_29,b1plot_type_2018_30,b1soil_type_2018_30,b1plot_size_2015_30,b1plot_size_2018_30,b1plot_status_2018_30,b1operation_stat_2018_30,b1landname_new_30,b1plot_type_2018_31,b1soil_type_2018_31,b1plot_size_2015_31,b1plot_size_2018_31,b1plot_status_2018_31,b1operation_stat_2018_31,b1landname_new_31,b1plot_type_2018_32,b1soil_type_2018_32,b1plot_size_2015_32,b1plot_size_2018_32,b1plot_status_2018_32,b1operation_stat_2018_32,b1landname_new_32,b1plot_type_2018_33,b1soil_type_2018_33,b1plot_size_2015_33,b1plot_size_2018_33,b1plot_status_2018_33,b1operation_stat_2018_33,b1landname_new_33,b1plot_type_2018_34,b1soil_type_2018_34,b1plot_size_2015_34,b1plot_size_2018_34,b1plot_status_2018_34,b1operation_stat_2018_34,b1landname_new_34,b1plot_type_2018_35,b1soil_type_2018_35,b1plot_size_2015_35,b1plot_size_2018_35,b1plot_status_2018_35,b1operation_stat_2018_35,b1landname_new_35,b1n_plot_2018,b1plot_roster_count
1181,Homestead,Clay-loam,16,16,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,50,50,Plot is the same in both rounds,Own operated,Barir shata(old land),Cultivable/arable land,Clay-loam,25,25,Plot is the same in both rounds,Mortgage out,Amta(old land),Cultivable Pond,Clay-loam,40,40,Plot is the same in both rounds,Mortgage out,Pukur(old land),Bush/forest,Clay-loam,15,15,Plot is the same in both rounds,Fallow,Bas zhar(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
1182,Homestead,Sandy-loam,5,5,Plot is the same in both rounds,Fallow,Bosot vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1183.1,Homestead,Loam,6,6,Plot is the same in both rounds,Fallow,Bostot vita(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,45,0,Mortgage out/ Rent,,Uttar chawk(old land),Cultivable/arable land,,27,0,Mortgage out/ Rent,,Uttar chawk(old land),Cultivable/arable land,,3,0,Mortgage out/ Rent,,Uttar chawk(old land),Cultivable/arable land,Loam,0,52,New Mortgage,Mortgaged in,Lutfor er jomi(old land),,,,,,,Khalek er jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
1183.2,Homestead,Loam,6,6,Plot is the same in both rounds,Fallow,Bosot vita(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,0,0,Others (specify),,Purbo mat(old land),Cultivable/arable land,,45,0,Inherited or Household Split,,Uttar chawk(old land),Cultivable/arable land,,27,0,Inherited or Household Split,,Uttar chawk(old land),Cultivable/arable land,,3,0,Inherited or Household Split,,Uttar chawk(old land),Cultivable/arable land,Loam,0,42,New Mortgage,Rented/leased in/crop share,Dokkhin chawk(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
1184,Homestead,Loam,7,7,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,20,20,Plot is the same in both rounds,Own operated,Dokkhin er jomi(old land),Cultivable/arable land,Clay-loam,15,15,Plot is the same in both rounds,Mortgage out,Purbo chawk(old land),Derelict pond,Loam,2,2,Plot is the same in both rounds,Fallow,Pukur(old land),Cultivable/arable land,,0,0,Others (specify),,Dakkhin chawk(old land),Cultivable/arable land,,0,0,Others (specify),,Dakkhin chawk(old land),Cultivable/arable land,,0,0,Others (specify),,Dakkhin chawk(old land),Cultivable/arable land,,17,0,Mortgage out/ Rent,,Purbo chawk(old land),Cultivable/arable land,Loam,0,30,New Mortgage,Rented/leased in/crop share,Safiq er(old land),Cultivable/arable land,Loam,0,30,New Mortgage,Mortgaged in,Dokkhin chawk(old land),Cultivable/arable land,Loam,0,7,New Mortgage,Rented/leased in/crop share,Delowar(old land),Cultivable/arable land,Loam,0,60,New Mortgage,Rented/leased in/crop share,Rahman(old land),Only for seed bed),Loam,0,3,New Mortgage,Free of cost in,Bizz tola(old land),,,,,,,Purbo mat(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14
1185,Homestead,Sandy-loam,5,5,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,,24,0,Mortgage out/ Rent,,Hutar chala(old land),Cultivable/arable land,,15,0,Mortgage out/ Rent,,Bader par(old land),Cultivable/arable land,,28,0,Mortgage out/ Rent,,Bader par(old land),Cultivable/arable land,,3,0,Mortgage out/ Rent,,Vai er jomi(old land),Cultivable/arable land,Loam,0,18,New Mortgage,Rented/leased in/crop share,Doctor er jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
1186,Homestead,Loam,9,9,Plot is the same in both rounds,Fallow,Boshot vita(old land),Cultivable/arable land,Loam,15,15,Plot is the same in both rounds,Own operated,Uttar mat(old land),Cultivable/arable land,Loam,8,8,Plot is the same in both rounds,Mortgage out,Uttor er mat(old land),Cultivable/arable land,Loam,5,5,Plot is the same in both rounds,Mortgage out,Uttor er jomi(old land),Cultivable/arable land,Loam,30,30,Plot is the same in both rounds,Rented/leased in/crop share,Purbo mat(old land),Cultivable/arable land,Loam,23,23,Plot is the same in both rounds,Rented/leased in/crop share,Dokkhin er math(old land),Cultivable/arable land,Loam,16,16,Plot is the same in both rounds,Mortgage out,Dokkhi er jomi(old land),Cultivable/arable land,Loam,14,14,Plot is the same in both rounds,Mortgage out,Dokkhin er jomi(old land),Cultivable/arable land,Loam,30,30,Plot is the same in both rounds,Own operated,Purbo mat(old land),Cultivable/arable land,Loam,7,7,Plot is the same in both rounds,Mortgage out,Uttor er jomi(old land),Cultivable/arable land,Loam,35,35,Plot is the same in both rounds,Rented/leased in/crop share,Dokkhin er mat(old land),Cultivable/arable land,,25,0,Mortgage out/ Rent,,Dokhin er jomi(old land),Bush/forest,Loam,11,11,Plot is the same in both rounds,Fallow,Bash zhor(old land),Cultivable/arable land,Loam,19,19,Plot is the same in both rounds,Own operated,Dokkhin er jomi(old land),,,,,,,Pukur(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15
1194.1.1,Homestead,Clay-loam,20,20,Plot is the same in both rounds,Fallow,Boshot vita(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Rastar dhokkihy(old land),Cultivable/arable land,Sandy,25,25,Plot is the same in both rounds,Rented/leased in/crop share,Chorer jomi(old land),Cultivable/arable land,Clay-loam,18,18,Plot is the same in both rounds,Own operated,Bahirer jomi(old land),Cultivable/arable land,Sandy,8,8,Plot is the same in both rounds,Own operated,Nodir pary jomi(old land),Land in riverbed,Sandy,16,16,Plot is the same in both rounds,Fallow,Nodir moddy(old land),Cultivable/arable land,Clay-loam,0,40,Others (specify),Rented/leased in/crop share,Boro Rastar pashy(old land),,,,,,,Barir pashy(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
1194.2.1,Homestead,Clay-loam,20,7,Inherited or Household Split,Fallow,Boshot vita(old land),Cultivable/arable land,,35,0,Inherited or Household Split,,Rastar dokhiny(old land),Cultivable/arable land,,25,0,Inherited or Household Split,,Chera(old land),Cultivable/arable land,,18,0,Inherited or Household Split,,Jhore jomi(old land),Cultivable/arable land,,8,0,Inherited or Household Split,,Nodir par(old land),Cultivable/arable land,,16,0,Inherited or Household Split,,Nodir modde(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
1194.2.2,Homestead,Clay-loam,20,7,Inherited or Household Split,Fallow,Bosot vita(old land),Cultivable/arable land,,35,0,Inherited or Household Split,,Rasar Dokkhine(old land),Cultivable/arable land,,25,0,Inherited or Household Split,,Charer jomi(old land),Cultivable/arable land,,18,0,Inherited or Household Split,,Johor jomi(old land),Cultivable/arable land,,8,0,Inherited or Household Split,,Nodir par(old land),Cultivable/arable land,,16,0,Inherited or Household Split,,Nodir moddy(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
1195,Homestead,Sandy-loam,9,9,Plot is the same in both rounds,Fallow,Basat vita(old land),,,,,,,Taltola jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1197,Homestead,Sandy-loam,40,40,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Sandy-loam,20,20,Plot is the same in both rounds,Rented/leased out/crop share,Purbo chawk(old land),Cultivable/arable land,Sandy-loam,25,20,Others (specify),Rented/leased out/crop share,Huzchala(old land),Cultivable/arable land,Sandy-loam,23,23,Plot is the same in both rounds,Rented/leased out/crop share,Purbo chawk(old land),Cultivable/arable land,Sandy-loam,32,32,Plot is the same in both rounds,Rented/leased out/crop share,Purbo chawk(old land),Cultivable/arable land,Sandy-loam,22,22,Plot is the same in both rounds,Rented/leased out/crop share,Nodir opar(old land),Cultivable/arable land,Sandy-loam,6,6,Plot is the same in both rounds,Rented/leased out/crop share,Nodir opar(old land),Cultivable/arable land,Sandy-loam,28,28,Plot is the same in both rounds,Rented/leased out/crop share,Khabar char(old land),Cultivable/arable land,Sandy-loam,40,40,Plot is the same in both rounds,Rented/leased out/crop share,Lal miyar jomi(old land),Cultivable/arable land,Sandy-loam,28,28,Plot is the same in both rounds,Rented/leased out/crop share,Lal miyar jomi(old land),Cultivable/arable land,Sandy-loam,10,10,Plot is the same in both rounds,Rented/leased out/crop share,Bagan korche(old land),Cultivable/arable land,Sandy-loam,11,11,Plot is the same in both rounds,Rented/leased out/crop share,Brir kache(old land),Derelict pond,Sandy-loam,40,40,Plot is the same in both rounds,Fallow,Pukur(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
1202,Homestead,Loam,11,11,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,40,40,Plot is the same in both rounds,Rented/leased in/ for cash,Uttar chak(old land),Cultivable/arable land,,20,0,Mortgage out/ Rent,,Uttar cahak(old land),Cultivable/arable land,,10,0,Mortgage out/ Rent,,Uttar chak(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Rented/leased in/ for cash,Uttar chak(old land),Cultivable/arable land,Clay-loam,0,18,New Mortgage,Rented/leased in/ for cash,Barir pase(old land),Cultivable/arable land,Clay-loam,0,9,New Mortgage,Rented/leased in/ for cash,Biler matha(old land),Cultivable/arable land,Clay-loam,0,3,New Mortgage,Rented/leased in/ for cash,Chato jamai(old land),,,,,,,Moddo joke(new land in SPIA BIHS 2024),,,,,,,Moddo chak(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10
1203,Homestead,Loam,12,12,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,20,20,Plot is the same in both rounds,Own operated,Moddar char(old land),Cultivable/arable land,Loam,15,15,Plot is the same in both rounds,Own operated,Moddar char(old land),Cultivable/arable land,Loam,45,45,Plot is the same in both rounds,Rented/leased in/ for cash,Chakar uppar(old land),Cultivable/arable land,Loam,18,18,Plot is the same in both rounds,Rented/leased in/ for cash,Isakar jami(old land),Cultivable/arable land,,0,0,Others (specify),,Shirajar jami(old land),Cultivable/arable land,Loam,65,65,Plot is the same in both rounds,Rented/leased in/ for cash,Noni babu jami(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
1204,Homestead,Loam,36,36,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,25,25,Plot is the same in both rounds,Own operated,Pochim mochak(old land),Cultivable/arable land,Loam,25,25,Plot is the same in both rounds,Own operated,Pocim cak(old land),Cultivable/arable land,Loam,25,25,Plot is the same in both rounds,Own operated,Pochim matha(old land),Cultivable/arable land,Loam,26,26,Plot is the same in both rounds,Own operated,Konar bondo(old land),Cultivable/arable land,Loam,24,24,Plot is the same in both rounds,Own operated,Konar bondo(old land),Cultivable/arable land,Loam,20,20,Plot is the same in both rounds,Own operated,Konar bondo(old land),Cultivable/arable land,Loam,15,15,Plot is the same in both rounds,Own operated,Konar bondo(old land),Cultivable/arable land,,18,0,Mortgage out/ Rent,,Pocima char(old land),Cultivable/arable land,,23,0,Mortgage out/ Rent,,Konar bondo(old land),Cultivable/arable land,,5,0,Mortgage out/ Rent,,Konar bondo(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
1206,Homestead,Clay-loam,11,11,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,41,41,Plot is the same in both rounds,Own operated,Moddo chakar jami(old land),Cultivable/arable land,Loam,26,26,Plot is the same in both rounds,Own operated,Bari kacha(old land),Cultivable/arable land,Clay-loam,12,12,Plot is the same in both rounds,Own operated,Vita para(old land),Pasture,Loam,10,10,Plot is the same in both rounds,Fallow,Palan(old land),Cultivable/arable land,,35,0,Mortgage out/ Rent,,Miraj mastarear(old land),Cultivable/arable land,,0,0,Others (specify),,Badara(old land),Cultivable/arable land,,0,0,Others (specify),,Tara mia(old land),Cultivable/arable land,,0,0,Others (specify),,Miraj mastar(old land),Cultivable/arable land,,0,0,Others (specify),,Amulla(old land),Only for seed bed),Loam,5,4,Inherited or Household Split,Rented/leased in/ for cash,Golaman(old land),Cultivable/arable land,Loam,0,33,New Mortgage,Mortgaged in,Majibar(old land),Cultivable/arable land,Loam,0,35,New Mortgage,Mortgaged in,Joydab(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
1208,Homestead,Loam,7,7,Plot is the same in both rounds,Fallow,Boshot vita(old land),Cultivable/arable land,Loam,30,30,Plot is the same in both rounds,Own operated,Khonar jomi(old land),Cultivable/arable land,Loam,20,20,Plot is the same in both rounds,Own operated,Barir pashy(old land),Cultivable/arable land,Loam,40,40,Plot is the same in both rounds,Mortgaged in,Modder chok(old land),Cultivable/arable land,,0,0,Others (specify),,Goshbarer jomi(old land),Cultivable/arable land,Loam,13,13,Plot is the same in both rounds,Mortgaged in,Churai par(old land),Cultivable/arable land,,0,0,Others (specify),,Barir shaty(old land),Cultivable/arable land,,0,0,Others (specify),,Mastarer jomi(old land),Cultivable/arable land,,0,0,Others (specify),,Barir shaty(old land),Only for seed bed),Loam,5,5,Plot is the same in both rounds,Free of cost in,Vaier(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
1210,Homestead,Sandy-loam,120,120,Plot is the same in both rounds,Fallow,Boshot vita(old land),Cultivable/arable land,,0,0,Others (specify),,D.jomi(old land),Cultivable/arable land,Sandy-loam,55,55,Plot is the same in both rounds,Rented/leased  out/cash,Uttor(old land),Cultivable/arable land,,0,0,Others (specify),,Uttir er jomi(old land),Cultivable/arable land,Sandy-loam,31,31,Plot is the same in both rounds,Rented/leased  out/cash,Chatni jomi(old land),Cultivable/arable land,Sandy-loam,31,31,Plot is the same in both rounds,Rented/leased  out/cash,Punur er jomi(old land),Cultivable Pond,Sandy-loam,33,33,Plot is the same in both rounds,Rented/leased  out/cash,Pukur(old land),Cultivable/arable land,Sandy-loam,70,70,Plot is the same in both rounds,Mortgage out,D.er jomi(old land),Cultivable/arable land,Sandy-loam,60,60,Plot is the same in both rounds,Rented/leased  out/cash,Pukur ear jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
1212,Homestead,Loam,15,15,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,7,7,Plot is the same in both rounds,Own operated,Pachima chawk(old land),Cultivable/arable land,Loam,0,30,New Mortgage,Rented/leased in/ for cash,Sombag(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
1214,Homestead,Sandy-loam,4,4,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Loam,35,35,Plot is the same in both rounds,Mortgage out,Manajar er bari(old land),Cultivable/arable land,Loam,30,30,Plot is the same in both rounds,Own operated,Gorastanar er jomi(old land),Cultivable/arable land,Loam,30,30,Plot is the same in both rounds,Own operated,Nadir kacha(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
